sensorName,lat,long,transmitDateTime,CO,NH3,NO2,TDS,turbidity
dummy,47.65637,-122.30964,2025-03-11 16:04:04
prototype,47.653132,-122.306114,2025-03-11 16:23:01,4.365975,0.541498,-1.000000,76.574707,4.998779
dummy,47.65637,-122.30964,2025-03-11 16:27:38,15.00,15.00,3.00
dummy,47.65637,-122.30964,2025-03-11 16:29:15,15.00,15.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-11 16:30:25,15.00,15.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 16:53:01,4.356851,0.431462,-1.000000,76.612762,4.998779
dummy,47.65637,-122.30964,2025-03-11 17:00:26,15.00,15.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-11 17:30:27,14.00,14.00,2.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 17:53:02,4.360065,0.369427,-1.000000,76.725861,4.998779
dummy,47.65637,-122.30964,2025-03-11 18:00:27,14.00,14.00,2.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 18:23:02,4.359116,0.386247,-1.000000,76.678566,4.998779
prototype,47.653132,-122.306114,2025-03-11 19:23:02,4.352521,0.372483,-1.000000,76.874283,4.998779
prototype,47.653132,-122.306114,2025-03-11 19:53:03,4.349397,0.366134,-1.000000,76.884796,4.998779
dummy,47.65637,-122.30964,2025-03-11 20:00:29,12.00,12.00,2.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 20:23:02,4.330164,0.304955,-1.000000,77.062187,4.998779
dummy,47.65637,-122.30964,2025-03-11 20:30:29,12.00,12.00,2.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-11 21:00:29,12.00,12.00,2.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 21:23:03,4.330427,0.317455,-1.000000,77.105453,4.998779
dummy,47.65637,-122.30964,2025-03-11 21:30:30,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 21:53:03,4.326077,0.302928,-1.000000,77.201347,4.998779
dummy,47.65637,-122.30964,2025-03-11 22:00:30,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-11 22:30:31,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-11 22:53:03,4.321522,0.284370,-1.000000,77.334000,4.998779
prototype,47.653132,-122.306114,2025-03-11 23:53:00,4.372640,0.675167,-1.000000,77.509865,4.998779
dummy,47.65637,-122.30964,2025-03-12 00:00:32,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 00:23:00,4.375526,0.655498,-1.000000,77.680626,4.998779
dummy,47.65637,-122.30964,2025-03-12 00:30:32,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 00:53:01,4.367008,0.621212,-1.000000,77.744904,4.998779
dummy,47.65637,-122.30964,2025-03-12 01:00:33,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 01:23:00,4.369917,0.630648,-1.000000,77.798698,4.998779
dummy,47.65637,-122.30964,2025-03-12 01:30:33,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 01:53:00,4.366046,0.614700,-1.000000,77.895889,4.998779
prototype,47.653132,-122.306114,2025-03-12 02:23:01,4.361930,0.591290,-1.000000,77.954918,4.998779
dummy,47.65637,-122.30964,2025-03-12 02:30:34,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 02:53:01,4.360581,0.582687,-1.000000,77.981201,4.998779
dummy,47.65637,-122.30964,2025-03-12 03:00:34,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 03:23:01,4.370831,0.613519,-1.000000,78.012703,4.998779
dummy,47.65637,-122.30964,2025-03-12 03:30:35,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 03:53:01,4.366104,0.595685,-1.000000,78.235809,4.998779
dummy,47.65637,-122.30964,2025-03-12 04:00:35,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 04:30:35,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 05:00:36,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 05:23:01,4.357300,0.562837,-1.000000,78.941277,4.998779
dummy,47.65637,-122.30964,2025-03-12 05:30:36,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 05:53:02,4.356757,0.566182,-1.000000,79.154884,4.998779
dummy,47.65637,-122.30964,2025-03-12 06:00:37,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 06:23:02,4.357882,0.566146,-1.000000,79.323959,4.998779
dummy,47.65637,-122.30964,2025-03-12 06:30:37,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 06:53:01,4.357152,0.564353,-1.000000,79.406456,4.998779
dummy,47.65637,-122.30964,2025-03-12 07:00:37,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 07:23:02,4.357921,0.564892,-1.000000,79.575485,4.998779
dummy,47.65637,-122.30964,2025-03-12 07:30:38,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 07:53:02,4.358296,0.564378,-1.000000,79.764091,4.998779
dummy,47.65637,-122.30964,2025-03-12 08:00:38,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 08:23:03,4.359253,0.570642,-1.000000,79.939545,4.998779
dummy,47.65637,-122.30964,2025-03-12 08:30:39,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 08:53:02,4.358448,0.561957,-1.000000,80.048233,4.998779
