sensorName,lat,long,transmitDateTime,CO,NH3,NO2,TDS,turbidity
The Quad,47.6569545,-122.3078511,2/10/2025 2:00,4.222014,0.98086,0.443096,,
The Quad,47.6569545,-122.3078511,2/10/2025 3:00,4.295415,0.630337,0.222431,,
Sylvan Grove,47.65319212,-122.3067571,2/10/2025 4:00,4.228327,0.431883,0.224737,,
Sylvan Grove,47.65319212,-122.3067571,2/10/2025 5:00,4.803411,0.520245,0.495853,,
Union Bay,47.65538146,-122.2924873,2/10/2025 6:00,4.668355,0.211546,0.425194,,
The Quad,47.6569545,-122.3078511,2/10/2025 7:00,4.217342,0.487308,-0.028679,,
Arboretum,47.65810245,-122.2987361,2/10/2025 8:00,3.910145,0.83783,0.082515,,
The Quad,47.6569545,-122.3078511,2/10/2025 9:00,4.222099,0.73363,0.391709,,
The Quad,47.6569545,-122.3078511,2/10/2025 10:00,4.710212,0.58238,0.503152,,
The Quad,47.6569545,-122.3078511,2/10/2025 11:00,4.188155,0.827241,0.349875,,
Union Bay,47.65538146,-122.2924873,2/10/2025 12:00,4.637036,0.831932,0.419319,,
Union Bay,47.65538146,-122.2924873,2/10/2025 13:00,4.863302,0.473972,-0.204107,,
Union Bay,47.65538146,-122.2924873,2/10/2025 14:00,4.339934,1.015384,-0.128558,,
Arboretum,47.65810245,-122.2987361,2/10/2025 15:00,4.811557,0.673455,0.369547,,
The Quad,47.6569545,-122.3078511,2/10/2025 16:00,4.860927,0.883051,0.529403,,
Union Bay,47.65538146,-122.2924873,2/10/2025 17:00,3.993774,1.112123,0.425912,,
Union Bay,47.65538146,-122.2924873,2/10/2025 18:00,4.567096,0.468293,-0.157894,,
Arboretum,47.65810245,-122.2987361,2/10/2025 19:00,4.219244,1.057505,0.039304,,
Union Bay,47.65538146,-122.2924873,2/10/2025 20:00,4.189005,0.551681,-0.320167,,
Arboretum,47.65810245,-122.2987361,2/10/2025 21:00,4.11442,1.085906,0.608628,,
The Quad,47.6569545,-122.3078511,2/10/2025 22:00,4.436435,0.450083,0.588887,,
The Quad,47.6569545,-122.3078511,2/10/2025 23:00,4.430635,0.675267,0.310832,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 0:00,4.000791,0.663268,-0.292504,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 1:00,4.434483,0.361119,0.259442,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 2:00,4.589138,0.593924,-0.18803,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 3:00,4.472471,0.314052,-0.001224,,
Sylvan Grove,47.65319212,-122.3067571,2/11/2025 4:00,4.084378,1.141124,-0.296901,,
